"Species","AgeClass","BACI.eff","n.years.b","n.years.a","n.sites.per.year","alpha","scenario","sd.Year","sd.Stream","sd.StreamYear","sd.Resid","sd.WS.BACI","nsw_T","nsw_C","sdSite","sdYear","sdSiteYear","sdResid","sdWS.BACI","n_TA","n_TB","n_CA","n_CB","ns_T","ns_C","ny_B","ny_A","mu_TA","mu_TB","mu_CA","mu_CB","baci","dfdenom","ncp","Fcrit","ts.power","Tcrit","os.power.a","os.power.b"
"BLTR","Immature",0.693147180559945,3,4,10,0.05,17890,0.143742733693192,0.743194864601529,0.0696139883923644,1.15087804362036,0.5,1,2,0.743194864601529,0.143742733693192,0.0696139883923644,1.15087804362036,0.5,10,10,10,10,3,7,3,4,0.693147180559945,0,0,0,0.693147180559945,53,1.29199032403555,4.02301699773367,0.200430424289941,1.6741162367031,0.30059190173929,0.00282719610980786
"BLTR","Mature",0.693147180559945,3,4,10,0.05,17893,5.05652647034668e-09,0.143380651120723,0.252491741697289,1.04069369806768,0.5,1,2,0.143380651120723,5.05652647034668e-09,0.252491741697289,1.04069369806768,0.5,10,10,10,10,3,7,3,4,0.693147180559945,0,0,0,0.693147180559945,53,1.25898698134591,4.02301699773367,0.196497412663165,1.6741162367031,0.295591318422695,0.00295485693436526
"BKTR","AllAges",1.09861228866811,3,4,10,0.05,17898,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,0.5,1,2,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,0.5,10,10,10,10,3,7,3,4,1.09861228866811,0,0,0,1.09861228866811,53,3.5244169156632,4.02301699773367,0.45363297733475,1.6741162367031,0.582559220725903,0.000233841404228885
"BLTR","Immature",1.09861228866811,3,4,10,0.05,17901,0.143742733693192,0.743194864601529,0.0696139883923644,1.15087804362036,0.5,1,2,0.743194864601529,0.143742733693192,0.0696139883923644,1.15087804362036,0.5,10,10,10,10,3,7,3,4,1.09861228866811,0,0,0,1.09861228866811,53,3.24561681122081,4.02301699773367,0.424334570025201,1.6741162367031,0.553156776573347,0.000308790134398218
"BLTR","Mature",1.09861228866811,3,4,10,0.05,17904,5.05652647034668e-09,0.143380651120723,0.252491741697289,1.04069369806768,0.5,1,2,0.143380651120723,5.05652647034668e-09,0.252491741697289,1.04069369806768,0.5,10,10,10,10,3,7,3,4,1.09861228866811,0,0,0,1.09861228866811,53,3.16270891178284,4.02301699773367,0.415457947691173,1.6741162367031,0.544105123431075,0.00033581810737493
"BKTR","AllAges",0.693147180559945,4,4,10,0.05,17909,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,0.5,1,2,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,0.5,10,10,10,10,3,7,4,4,0.693147180559945,0,0,0,0.693147180559945,62,1.40833022479286,3.99588712591073,0.215185853107177,1.66980416251201,0.318795375608936,0.00241038503373503
"BLTR","Immature",0.693147180559945,4,4,10,0.05,17912,0.143742733693192,0.743194864601529,0.0696139883923644,1.15087804362036,0.5,1,2,0.743194864601529,0.143742733693192,0.0696139883923644,1.15087804362036,0.5,10,10,10,10,3,7,4,4,0.693147180559945,0,0,0,0.693147180559945,62,1.31139395798902,3.99588712591073,0.203575677108197,1.66980416251201,0.304261127864408,0.0027376862068208
"BLTR","Mature",0.693147180559945,4,4,10,0.05,17915,5.05652647034668e-09,0.143380651120723,0.252491741697289,1.04069369806768,0.5,1,2,0.143380651120723,5.05652647034668e-09,0.252491741697289,1.04069369806768,0.5,10,10,10,10,3,7,4,4,0.693147180559945,0,0,0,0.693147180559945,62,1.28214562247928,3.99588712591073,0.200071548253591,1.66980416251201,0.299831357643019,0.00284662321016194
"BKTR","AllAges",1.09861228866811,4,4,10,0.05,17920,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,0.5,1,2,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,0.5,10,10,10,10,3,7,4,4,1.09861228866811,0,0,0,1.09861228866811,62,3.53787498892471,3.99588712591073,0.456988167376408,1.66980416251201,0.58530610069524,0.000227846742464011
"BLTR","Immature",1.09861228866811,4,4,10,0.05,17923,0.143742733693192,0.743194864601529,0.0696139883923644,1.15087804362036,0.5,1,2,0.743194864601529,0.143742733693192,0.0696139883923644,1.15087804362036,0.5,10,10,10,10,3,7,4,4,1.09861228866811,0,0,0,1.09861228866811,62,3.29436079899421,3.99588712591073,0.431394003369895,1.66980416251201,0.559746681464179,0.000290481028044298
"BLTR","Mature",1.09861228866811,4,4,10,0.05,17926,5.05652647034668e-09,0.143380651120723,0.252491741697289,1.04069369806768,0.5,1,2,0.143380651120723,5.05652647034668e-09,0.252491741697289,1.04069369806768,0.5,10,10,10,10,3,7,4,4,1.09861228866811,0,0,0,1.09861228866811,62,3.22088587610616,3.99588712591073,0.423541018774861,1.66980416251201,0.551794592055547,0.000312860846046537
